OBJECTID,FIPS_NR,COUNTY_NM,PARCEL_ID_NR,ORIG_PARCEL_ID,SITUS_ADDRESS,SUB_ADDRESS,SITUS_CITY_NM,SITUS_ZIP_NR,LANDUSE_CD,VALUE_LAND,VALUE_BLDG,DATA_LINK,FILE_DATE,GlobalID,Shape__Area,Shape__Length
3124146,75,Whitman,075-200004611192903,200004611192903.0,,,,,67.0,1040.0,8140.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938144&parcelNumber=200004611192903&typeID=1,5/29/2024 12:00:00 AM,c08ee07a-8d09-4d8f-9763-f123c3e00fbb,858310.301635742,4223.10472911724
3124149,75,Whitman,075-200004611184890,200004611184890.0,1545-1546 LOWER RIVER RD,,,,11.0,13200.0,353423.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938130&parcelNumber=200004611184890&typeID=1,5/29/2024 12:00:00 AM,4aa28968-26ef-4295-b1dc-1b01c7ce78d4,1009226.76751709,4613.58370521119
3124150,75,Whitman,075-200004611184490,200004611184490.0,200 DOWN RIVER RD,,,,11.0,11880.0,132940.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938128&parcelNumber=200004611184490&typeID=1,5/29/2024 12:00:00 AM,8ca88ce7-2994-4d8d-9916-716052319c0c,711620.471801758,3433.41330463581
3124152,75,Whitman,075-200004511134890,200004511134890.0,,,,,83.0,21120.0,157124.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=943535&parcelNumber=200004511134890&typeID=1,5/29/2024 12:00:00 AM,89866e0f-3b99-46f1-800d-d999ff157eb5,2301433.324646,7053.6791071471
3124153,75,Whitman,075-200004511173000,200004511173000.0,,,,,83.0,19200.0,15730.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934985&parcelNumber=200004511173000&typeID=1,5/29/2024 12:00:00 AM,3604365f-7fc9-4cbb-8150-b57de81b63b2,7287422.27160645,10800.3175114649
3124163,75,Whitman,075-200004511172902,200004511172902.0,31780 WAWAWAI RD,,,,83.0,11160.0,125070.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934983&parcelNumber=200004511172902&typeID=1,5/29/2024 12:00:00 AM,9b8c6971-a459-4777-875c-7873ad12c102,444388.938232422,3087.15068147514
3124165,75,Whitman,075-200004511172791,200004511172791.0,"7000 A DOWN RIVER RD, CLARKSTON 99403",,,,11.0,15336.0,110857.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934979&parcelNumber=200004511172791&typeID=1,5/29/2024 12:00:00 AM,22407646-6883-4e31-9516-7d9e4a85e712,122910.759460449,1694.00883404694
3124166,75,Whitman,075-200004511172793,200004511172793.0,"7000 A DOWN RIVER RD, CLARKSTON 99403",,,,11.0,15276.0,11000.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934981&parcelNumber=200004511172793&typeID=1,5/29/2024 12:00:00 AM,484f76d9-9214-4bc3-9a3c-8c3b2141c038,101297.064941406,1312.05874944891
3124167,75,Whitman,075-200004511172792,200004511172792.0,31782 WAWAWAI RD,,,,11.0,15192.0,37675.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934980&parcelNumber=200004511172792&typeID=1,5/29/2024 12:00:00 AM,fe4126ac-28f1-42ee-96cc-fde963cd54c8,70237.291015625,1318.0367245447
3124175,75,Whitman,075-200004511142900,200004511142900.0,,,,,83.0,18600.0,19360.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934962&parcelNumber=200004511142900&typeID=1,5/29/2024 12:00:00 AM,765182e8-3e98-457b-81c0-ea2ed43f96bc,6777868.07080078,11254.3967241466
3124216,75,Whitman,075-200004511082790,200004511082790.0,,,,,67.0,480.0,770.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934914&parcelNumber=200004511082790&typeID=1,5/29/2024 12:00:00 AM,05031c62-75ce-4ec0-af65-6dd053647072,1925401.01306152,5562.83143075969
3124270,75,Whitman,075-200004512224890,200004512224890.0,553 J MEYER RD,,,,11.0,27360.0,285000.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=935206&parcelNumber=200004512224890&typeID=1,5/29/2024 12:00:00 AM,f8a57324-cc31-49d5-b210-cbc2ec66a227,934670.425537109,5570.99806774363
3124295,75,Whitman,075-200004511014901,200004511014901.0,"2501 STOUT RD, UNIONTOWN 99179",,,,83.0,19920.0,13200.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934854&parcelNumber=200004511014901&typeID=1,5/29/2024 12:00:00 AM,bb163811-588d-4af5-a199-4272b8f09f9c,243538.103210449,2429.0189957448
3124298,75,Whitman,075-200004512243800,200004512243800.0,NA SCHULTHEIS RD,,,,83.0,92400.0,7500.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=935227&parcelNumber=200004512243800&typeID=1,5/29/2024 12:00:00 AM,f0a5f03e-8289-4321-90c5-0917e3cdf0e9,3625108.7512207,8064.28851152972
3124300,75,Whitman,075-200004612194800,200004612194800.0,2802 SR 195,,,,83.0,104200.0,254033.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938259&parcelNumber=200004612194800&typeID=1,5/29/2024 12:00:00 AM,f9549f2c-a3d6-4018-8875-2e1ff3828efd,3654966.88903809,8118.55596066136
3124301,75,Whitman,075-200004611063290,200004611063290.0,"2601 STOUT RD, UNIONTOWN 99179",,,,83.0,28320.0,124556.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938063&parcelNumber=200004611063290&typeID=1,5/29/2024 12:00:00 AM,5e6343c5-ef77-40c2-8ea4-fecad72c49ec,454399.697441325,3103.39560418578
3124307,75,Whitman,075-200004611053000,200004611053000.0,,,,,83.0,166560.0,42020.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938057&parcelNumber=200004611053000&typeID=1,5/29/2024 12:00:00 AM,2aefb09c-e5fb-4a06-9c77-910a2a75e7bb,7245029.67700195,10766.988052908
3124308,75,Whitman,075-200004611062339,200004611062339.0,2301 STOUT RD,,,,11.0,17520.0,189612.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938061&parcelNumber=200004611062339&typeID=1,5/29/2024 12:00:00 AM,938c54f7-40b2-49f2-805c-88e56933010f,180979.868006378,2244.14384273995
3124330,75,Whitman,075-200004511042900,200004511042900.0,,,,,83.0,14760.0,220.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934885&parcelNumber=200004511042900&typeID=1,5/29/2024 12:00:00 AM,08f2c244-b929-446e-9692-0111c1003b82,5415997.88275146,10745.7232555043
3124350,75,Whitman,075-200004512237590,200004512237590.0,425 J MEYER RD 99179,,,,11.0,20504.0,385840.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=935219&parcelNumber=200004512237590&typeID=1,5/29/2024 12:00:00 AM,b51965c9-2690-4beb-9d47-43fcb321ce5a,226061.265625,2360.71730210349
3124355,75,Whitman,075-200004611061000,200004611061000.0,952 STOUT RD,,,,83.0,150600.0,81342.0,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938060&parcelNumber=200004611061000&typeID=1,5/29/2024 12:00:00 AM,b84468de-f08e-4158-9e66-f5b4ec17efb4,7400390.91400146,10883.459831719
